,ig_page,ig_post_date,ig_content,ig_like_cnt,ig_comment_cnt,ig_extract_date
0,aiahongkongmacau,12 hours ago,"
                        您知道嗎？原來食蘋果比飲咖啡更提神，仲可以令您全日都精神奕奕！

想提起精神，仲可以食啲咩？

- 雞蛋：入面嘅優質蛋白質可以令肌肉同骨骼更強壯，亦可為一日提供足夠精神同體力
- 燕麥：含複合碳水化合物，係緩釋能量嘅最佳來源之一，令您成朝都保持活力
- 梨：天然糖同纖維比例均衡，持續為身體提供能量，為身體加加油

一個小改變，可以培養新嘅健康習慣。歡迎大家留言同我哋分享您食得有「營」嘅心得，齊齊幫助大眾實踐「健康長久好生活」啦！

📣 記得玩埋【AIA One Billion 健康達人大挑戰】，只要做齊任務就有機會獲得100港元HKTVmall電子禮券！即刻撳入AIAOB 限時動態精選 (Story highlights) 睇詳情啦！

 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK  #EatWell  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion健康達人大挑戰  #食得有營篇

註︰1. 「AIA One Billion 健康達人大挑戰 - 食得有「營」篇」活動期由2022年4月18日上午10時至2022年4月22日下午6時正。2. 每位參加者只可於每個階段參與一次。3. 活動受條款及細則約束︰https://bit.ly/3vkLnfg / 查閱AIAOB限時動態精選 。 
                    ",2        ,0        ,20220419
1,aiahongkongmacau,1 day ago,"
                        【AIA One Billion 健康達人大挑戰 - 食得有「營」篇】

攝取均衡營養可以增強我哋嘅免疫力，對維持健康生活亦十分重要。呢一樣係我哋喺2030年前推動亞洲區內10億人實踐「健康長久好生活」嘅其中一項重要任務。想培養健康習慣? 不妨先由飲食入手！試吓喺每日嘅餐單作出小改動，已經係一個簡單好開始。

為咗鼓勵您哋一齊投入健康生活，由今日開始，我哋一連4個星期一將會推出【AIA One Billion 健康達人大挑戰】。首個階段係「食得有『營』篇」，大家只要做齊以下任務，參加者嘅留言得到最多like就可以獲得100港元HKTVmall電子禮券！記得玩埋之後公佈3個階段嘅遊戲，參加者如果參加晒4個階段，而留言加埋得到最多like數就可以獲得額外500港元HKTVmall電子禮券！快啲call埋朋友一齊玩啦！

參加方法：

1. 追蹤「AIA Hong Kong and Macau」Instagram 專頁 
2. 讚好此帖文
3. 於此帖文下留言分享您食得有「營」嘅心得/小貼示

📣今個階段得到最多like嘅留言可以得到100港元HKTVmall電子禮券㗎！記得Tag朋友仔讚好您嘅留言呀！

食得有「營」篇活動推廣期：2022年4月18日上午10時至2022年4月22日下午6時正

 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK  #EatWell  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion健康達人大挑戰  #食得有營篇

註︰1. 每位參加者只可於每個階段參與一次。2. 每個階段只有一名得獎者。3. 活動受條款及細則約束︰https://bit.ly/3vkLnfg / 查閱AIAOB限時動態精選 。 
                    ",24        ,8        ,20220419
2,aiahongkongmacau,1 day ago,"
                        踏出簡單一小步去展開健康旅程，往往比您想像中容易！只要喺日常生活上作出一點小改變，已經可以幫您培養新習慣，實踐「健康長久好生活」！

嚟緊一連四個星期，我哋將會同大家分享關於均衡營養、身心靈健康同保護環境嘅小貼士，同大家齊齊投入健康生活！

除此之外，我哋即將推出合共4個階段嘅【AIA One Billion 健康達人大挑戰】有獎遊戲，分別係「食得有『營』篇」、「運動鍛鍊篇」、「心靈健康篇」同「綠色生活篇」，大家只需按指示留言並做齊任務，就有機會獲得高達900港元HKTVmall電子禮券！

更多詳情將於稍後公佈，記得緊貼住我哋喇！

 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK   #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion健康達人大挑戰 
                    ",18        ,0        ,20220419
3,aiahongkongmacau,2 days ago,"
                        久違嘅長假期終於嚟到，祝各位復活節快樂！趁住假期同摯愛好好放鬆一下，畀自己Take個Break啦！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #HappyEaster  #復活節快樂  #Easter  #復活節 
                    ",29        ,0        ,20220419
4,aiahongkongmacau,4 days ago,"
                        【畢業生留意】參加AIA iDream Programme裝備自己！ 

畢業在即，想快人一步搵到未來方向？咁就要好好裝備自己，及早Plan定未來事業路向啦！ 

我哋今年再度推出AIA iDream Programme「友邦未來精英領袖體驗計劃」，歡迎全日制嘅香港大專或以上學生參加。參加者可以透過4日嘅網上培訓及財務策劃工作體驗，瞭解財務策劃行業嘅發展機遇，仲可以同時加強您嘅求職技巧！ 

實習項目費用全免，完成項目的實習生將獲得證書。期間更加設有20,000港元獎金獎勵俾優秀學員，想參加就立即Click https://bit.ly/379IbLx 報名啦！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #ActNow  #大學畢業生  #FreshGrad  #AIAFinancialPlanner  #事業新發展  #AIAiDreamProgramme  #友邦未來精英領袖體驗計劃  #友邦精英學院  #AIAPremierAcademy  #Internship  #Campus 
                    ",20        ,0        ,20220419
5,aiahongkongmacau,1 week ago,"
                        【澳門會員專享！「AIA Vitality 健康程式」全新禮遇登場！】 

「AIA Vitality 健康程式」優惠最強，全年食住賞！澳門會員獨家享有餐飲折扣禮遇，即睇優惠詳情： 

「AIA Vitality 健康程式」澳門會員現凡於指定澳門翠華餐廳消費，只需出示銀河影院當天戲票及「AIA Vitality 健康程式」電子會員卡，即可享85折優惠及獲享一份免費健康油菜。優惠受條款及細則約束。

仲有更多精彩優惠陸續有嚟，記住密切留意啦！ 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAVitality  #AIAVitality健康程式  #LiveWithVitality 
                    ",25        ,2        ,20220419
6,aiahongkongmacau,2 weeks ago,"
                        【您今日打咗卡未？即玩「4星期打卡挑戰」攞健康貼士兼賺積分！】 

近年掀起食椰子油嘅熱潮，坊間流傳椰子油比其他油類更加健康，究竟呢個講法啱唔啱呢？同埋，點樣去界定一種油嘅健康程度呢？

想知答案同瞭解多啲相關嘅健康知識，就快啲參加「4星期打卡挑戰」！ 

由即日起至2022年4月17日，「AIA Vitality 健康程式」會員可登入「友聯繫」流動應用程式，前往「AIA Vitality 健康程式」，回答一條簡單問題，瞭解唔同嘅健康貼士同時，仲可以賺埋分添！ 

立即行動，記住每星期登入「AIA Vitality 健康程式」邊學邊賺積分啦！ 

如果仲未成為「AIA Vitality 健康程式」會員嘅話，快啲加入，除咗可以享有保費折扣或額外保障之外，透過日常生活作簡單運動同健康飲食，就可以儲分升級，獲享更多優惠及豐富獎賞。即刻聯絡您嘅財務策劃顧問，或者click aia.com.hk/aiavitality瞭解更多。 

*詳情請參閱「AIA Vitality 健康程式」互動卡內的條款及細則 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAVitality  #AIAVitality健康程式  #LiveWithVitality  #AIA超越保險  #AIABeyondInsurance  #AIAHealthAndWellness360  #AIAOneBillion 
                    ",17        ,0        ,20220419
7,aiahongkongmacau,2 weeks ago,"
                        【免費登記】AIA網上健康講座 – 教您防疫同保健貼士
 
疫情持續，大家對提升身心健康嘅資訊需求亦日益增加，想了解更全面嘅抗疫資訊，就要登記參加下星期嘅AIA網上健康講座!  我哋邀請咗周一嶽醫生同大家分享抗疫「貼士」，一齊實踐「健康長久好生活」。

費用全免，立即登記！https://comm.aia.com.hk/webinar

講座詳情
講座主題：新冠病毒Omicron預防、病徵及治療
主講嘉賓：友邦香港及澳門首席醫務官及企業顧問周一嶽醫生

日期及時間： 
2022年4月7日 (星期四)
(廣東話) 下午12時正 – 12時45分
(英語) 下午1時15分 - 2時正
 
2022年4月8日(星期五)
(廣東話) 下午5時正 – 5時45分

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion  #健康講座 
                    ",37        ,0        ,20220419
8,aiahongkongmacau,2 weeks ago,"
                        【「AIA Vitality 健康程式」會員*優惠延長至6月30日！】

精彩優惠，梗係唔好俾佢停啦!「AIA Vitality 健康程式」會員專享嘅折扣及購物禮遇優惠期將會延長至6月30日，快啲把握機會，繼續做個享盡優惠嘅健康達人啦！

優惠詳情^:

Fitbit
- 指定智能健身手環、手錶及電子磅可享低至7折優惠

香港體檢
- 指定男女體檢套餐、接種HPV疫苗可享低至51折優惠
- 接種HPV疫苗更獲享免費頸枕乙個

CheckCheckCin
-於門市指定消費可享低至88折優惠，出示指定條碼獲享額外HK$5飲品優惠券
-米水茶飲店及網上商店消費滿HK$500即享9折優惠及免運費

優惠期有限，即刻去AIA Connect「友聯繫」内「AIA Vitality 健康程式」嘅互動卡瞭解更多活動詳情^。

仲有更多精彩優惠陸續有嚟，記住密切留意啦！

*如果想緊貼我哋嘅最新優惠同動向，「AIA Vitality 健康程式」會員可致電2232 8282並留低聯絡email，我哋會將最新嘅資訊send俾您！

^優惠受條款及細則約束。

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAVitality  #AIAVitality健康程式  #LiveWithVitality 
                    ",18        ,0        ,20220419
9,aiahongkongmacau,2 weeks ago,"
                        小改變能夠造就大不同 ，而踏出第一步往往需要自覺力、勇氣同埋支持！
 
友邦保險全球大使 @davidbeckham  身體力行支持「AIA One Billion」行動，立即去片睇佢同大家分享實踐「健康長久好生活」嘅心得。我哋亦鼓勵您留言同我哋分享您嘅故事，一齊由今日開始投入健康旅程！
 
了解更多「AIA One Billion」︰aia.com/aiaonebillion
 
 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK  #JoinTheJourney  #HealthierLongerBetterLives  #健康長久好生活 
                    ",37        ,1        ,20220419
10,aiahongkongmacau,2 weeks ago,"
                        【AIA喺服務及理財教育領域勇奪多個獎項！】

AIA一直致力提升客戶體驗，同時亦積極推動公眾理財教育工作，履行企業社會責任，近日先後獲得多項嘉許：

由《東周刊》主辦之「香港服務大獎2022」
- 「保險服務」大獎 (連續第十一年)
- 「自願醫保計劃」大獎 (蟬聯)
- 「強積金服務」大獎 (連續第十年)
-  榮獲「超卓榮譽大獎」, 表揚AIA連續十年勇奪「強積金服務」大獎

由香港財務策劃師學會頒發之「理財教育領袖大獎」
- 「企業理財教育領袖（金獎）」 (連續第四年)

由投資者及理財教育委員會舉辦嘅「投資者及理財教育獎2021」
- 成為獲獎機構

AIA好榮幸喺多個領域獲得專業肯定。我哋除咗會繼續為客戶帶來更卓越嘅體驗同多元產品，亦會積極透過唔同渠道分享理財資訊，同大家一齊為未來作出更周全嘅規劃，幫助更多人實踐「健康長久好生活」。

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活 
                    ",24        ,0        ,20220419
11,aiahongkongmacau,2 weeks ago,"
                        友邦保險全球大使 @davidbeckham  實踐「健康長久好生活」背後嘅原動力究竟係咩? 

大家記得密切留意聽日推出嘅完整版短片！

 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK  #JoinTheJourney  #HealthierLongerBetterLives  #健康長久好生活 
                    ",28        ,0        ,20220419
12,aiahongkongmacau,3 weeks ago,"
                        【✅ 安坐家中贏取獎品! 投選最喜愛嘅熱刺球員，有機會贏走  #簽名球衣👕或  #Garmin智能手錶 ⌚️ 】 

新一round嘅AIA托定咸熱刺本月最佳球員活動又嚟喇！三位入選球員分別有哈利簡尼、基斯甸羅美路、賓坦古亞。由而家起至2022年4月19日23:59 (香港時間)，投選您嘅心水球員再分享投選原因，即有機會贏得托定咸熱刺簽名球衣一件或智能手錶Garmin Vivosmart 4 一隻！🏆⚽ 

立即行動啦👉🏻 https://bit.ly/36MuKk3 

註：每位參加者只可參與投票一次。受條款及細則約束。 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #TottenhamHotspurGlobalPrincipalPartner  #托定咸熱刺全球主要合作夥伴  #AIASpurs  #FootballForLife  #SpursPlayeroftheMonth  #EnglishPremierLeague  #EPL  #TottenhamHotspur  #托定咸熱刺  #Spurs  #熱刺  #Football  #足球 
                    ",17        ,0        ,20220419
13,aiahongkongmacau,3 weeks ago,"
                        【⏰約定您，今晚8點半熄燈一小時】

我哋今年會繼續響應「地球一小時」活動，友邦香港大樓、友邦九龍金融中心、香港同澳門嘅友邦廣場，同埋由AIA贊助嘅香港摩天輪將會準時喺今晚8點半熄燈一小時，以實際行動守護生態環境! 

立即坐言起行，一齊改變生活習慣，實踐綠色生活態度，就由今晚熄燈一小時開始！ 

與此同時，我哋承諾喺2050年或之前實現淨零排放，為客戶、股東同社區締造長期可持續嘅價值，幫助大眾實踐「健康長久好生活」。 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #EarthHour2022  #地球一小時2022  #LightsOff830pmSharp  #8點半準時熄燈  #ShapeOurFuture  #Connect2Earth  #AIAOneBillion  #實現淨零溫室氣體排放 

圖片及資料來源：https://earthhour.wwf.org.hk 
                    ",20        ,0        ,20220419
14,aiahongkongmacau,3 weeks ago,"
                        【AIA捐1,000萬港元予香港社會服務聯會 - 為殘疾人士提供應急支援】 

AIA一直緊貼社會動向，關顧社會各階層嘅需要，繼早前透過  #友邦慈善基金 捐贈3,000萬港元予仁愛堂支援長者及弱勢社群後，我哋再透過  #友邦慈善基金 捐贈1,000萬港元予香港社會服務聯會（下稱「社聯」），特別為受疫情影響嘅殘疾人士提供應急支援。有關捐贈將透過社聯會員機構伙伴向10,000名殘疾人士派發超市或餐廳現金券，資助佢哋購買膳食同日用品，以紓緩佢哋當前嘅困境。 

同時，AIA亦因應疫情發展，宣佈進一步擴大住院保障特別賠償安排俾確診2019冠狀病毒病嘅合資格客戶。除入住公立醫院外，喺以下醫院管理局指定嘅社區治療設施 - 亞洲國際博覽館嘅社區治療設施、北大嶼山醫院香港感染控制中心、大嶼山竹篙灣檢疫中心、青衣社區隔離設施、新田社區隔離設施、港珠澳大橋香港口岸人工島社區隔離設施同粉嶺社區隔離設施接受隔離治療，都可以獲得其醫療保單條款提供嘅住院入息／住院惠益／住院現金惠益，客戶享有同一般住院無異嘅保障。

我哋希望透過適切同即時嘅支援，為唔同社群燃點希望，互助互勉，同市民一齊克服難關！ 

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion  #友邦慈善基金  #AIAFoundation 

註：客戶可獲得按其醫療保單條款提供的住院入息／住院惠益／住院現金惠益，受個人醫療和團體醫療保單契約的條款和條件及利益限制。此外，AIA 會按疫情發展而審視情況，適時更新此特別賠償安排。AIA有權隨時更改住院保障的特別賠償安排的條款及細則或終止此特別賠償安排而毋須另行通知。如對此特別賠償安排有任何爭議，AIA保留最終決定權。如客戶為非2019冠狀病毒病確診患者而入住醫院管理局指定社區治療設施，將不獲賠償。 
                    ",33        ,0        ,20220419
15,aiahongkongmacau,4 weeks ago,"
                        【AIA卓越顧問大使李慧詩同大家打打氣！】

喺疫情嚴峻嘅呢段時間，我哋搵嚟卓越顧問大使 @sarah_leewaisze   小姐同大家打打氣！除咗鼓勵大家，Sarah仲提醒大家要Keep住做運動嘅習慣，保持身體健康，咁先可以活出「健康長久好生活」！

我哋同Sarah一樣，明白大家喺疫情下受到唔同嘅影響。AIA除咗向社會各階層提供不同嘅抗疫支援措施，我哋嘅卓越顧問亦會繼續了解大家嘅需要，提供合適嘅保障，與大家共渡時艱，冀望盡快一同衝破「疫」境！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIABeyondInsurance  #AIA超越保險  #stayhealthy  #李慧詩  #AIAPremierAdvisor 
                    ",53        ,0        ,20220419
