,ig_page,ig_post_date,ig_content,ig_like_cnt,ig_comment_cnt,ig_extract_date
0,aiahongkongmacau,17 hours ago,"
                        想改變現狀，就要勇敢踏出第一步。
 
友邦保險全球大使 @davidbeckham  認為每個人都有力量改變自己，從而實踐「健康長久好生活」。立即睇片聽吓佢嘅分享！
 
 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK  #JoinTheJourney  #HealthierLongerBetterLives  #健康長久好生活 
                    ",11        ,0        ,20220527
1,aiahongkongmacau,1 day ago,"
                        【AIA青年共創項目比賽「Cre8 by AIA」強勢登場】

AIA 推出青年共創項目比賽「Cre8 by AIA」，以合共150萬港元嘅Cre8起動資金同全方位支援，幫佢哋追尋夢想，共創有無限可能嘅未來！Cre8大師 @neoyau19  仲率領多元唱作歌手 @hinscheung  、心靈插畫品牌  @dustykid_hk   創作人陳塵、@bakehousehk  麵包店創辦人 Grégoire Michaud、@greenpricehk  社企聯合創辦人韓駿謙同埋 @9GAG  聯合創辦人陳展俊，分別擔任5個組別嘅星級導師同評判，親身指導入選嘅後生仔，同佢哋攜手追夢！ 

喺發佈會入面，Cre8大師同導師們不但大談創業經，仲分享咗佢哋嘅評審準則。各位年青人唔好再問點解喇，想Cre8，本身就係冇原因！快啲報名參加！ 

🎥立即去片，睇下5個組別嘅導師有咩方法幫年青人實現夢想：

⭐️ Cre8 表演創作組別 - 游學修X張敬軒
https://youtu.be/QDbUfbaKTR8
⭐️Cre8 設計組別 - 游學修X陳塵
https://youtu.be/ebyiHpyjjrM
⭐️Cre8 飲食組別 - 游學修X Grégoire Michaud
https://youtu.be/q_eESfbLVHY
⭐️Cre8 環保組別 - 游學修X韓駿謙
https://youtu.be/gwOToQWZEwE
⭐️Cre8 創科組別 - 游學修X陳展俊
https://youtu.be/J7wNEJECwW4 

有關Cre8詳情及相關條款及細則，請瀏覽：cre8.com.hk 

 #AIAHongKong  #Cre8   #HealthierLongerBetterLives  #健康長久好生活  #游學修  #NeoYau  #張敬軒  #HinsCheung  #陳展俊  #9GAG  #陳塵  #Dustykid  #韓駿謙  #GreenPrice  #GrégoireMichaud  #Bakehouse  #你有諗法我有辦法  #點解要點解 
                    ",578        ,0        ,20220527
2,aiahongkongmacau,2 days ago,"
                         #游學修  #張敬軒 呢兩個人究竟有咩共通之處? 答案就係…只要您有 heart 有正橋分享，佢哋都會瞓身撐您實現夢想！

正所謂機會係留畀有機會嘅人！年青嘅您敢夢敢想，有時為嘅只係等一個機會展現才能！呢個正正係我哋推出  #Cre8byAIA 創業比賽嘅目的！ Cre8 by AIA 設有以下五大組別，由「試當真」頻道創辦人  #游學修 @neoyau19  擔任  #Cre8大師，率領五位行內導師向每組嘅入選者傳授獨門秘技︰

🎤表演創作 - 多元唱作歌手 張敬軒 @hinscheung 
🎨設計 - 心靈插畫品牌 @dustykid_hk  創作人 @rapchan 
🍽飲食 - @bakehousehk  麵包店創辦人 @gregoiremichaud 
♻️環保 - @greenpricehk  社企聯合創辦人 @Terence_hon 
💡創科 - @9GAG  聯合創辦人  #陳展俊

由即日起至 2022 年 8 月 15 日報名同話我知您嘅諗法，成功入圍將獲得專業導師指導、曝光機會同埋策略建議等平台支援，每組嘅勝出者（合共五名）仲會獲得 HK$30 萬起動資金！出錢出力撐您 Cre8 夢想！立即報名 cre8.com.hk。

記得follow埋 @Cre8hk  留意最新動向！

 #Cre8byAIA  #創業比賽  #支持年青人  #30萬起動資金  #機會嚟喇飛雲
 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活

Cre8 by AIA 受條款及細則約束，詳情請瀏覽 cre8.com.hk。 
                    ",235        ,1        ,20220527
3,aiahongkongmacau,6 days ago,"
                        【食得有「營」 實現全方位健康生活】

 #AIA企業客戶WorkWell網上講座  五月份講座已圓滿結束

面對疫情，大家比以往更重視身心健康，希望透過均衡飲食改善體質，增強免疫力。有見及此，我哋早前特別為企業客戶同成員舉辦網上講座，邀請到顧問營養師林思為小姐同大家分享營養飲食心得。

即到WorkWell with AIA 網頁重溫講座: https://bit.ly/3MkR4kU，一齊食得有「營」，實踐「健康長久好生活」！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion  #健康講座 
                    ",25        ,0        ,20220527
4,aiahongkongmacau,1 week ago,"
                        【🏰優惠期延長，以低至62折購買香港迪士尼樂園門票！】

香港迪士尼終於重開，我哋作為香港迪士尼樂園度假區嘅企業聯盟夥伴，特別延長咗樂園同酒店優惠畀大家開心share，各位準備好去玩未？AIA合資格客戶由即日起至2022年8月12日購買香港迪士尼樂園一日門票，可享低至62折優惠，仲可以免費換領場內餐飲同精美禮品！

一場嚟到，梗係要去埋staycation先夠盡興！而家至2022年9月29日book房除咗有85折優惠，指定房型仲有得免費upgrade添！優惠期有限，即刻預訂啦！

想知多啲優惠詳情即上：https://bit.ly/3nc5WaP
優惠受條款及細則約束，詳情請瀏覽 www.aia.com.hk 。

圖像僅作推廣用途。所有賓客必須佩戴口罩及保持適當社交距離。詳情請瀏覽 www.hongkongdisneyland.com 。

按法例要求，所有賓客(獲豁免人士除外)進入樂園、度假區酒店及在餐廳堂食前必須使用「安心出行」流動應用程式登記及符合「疫苗通行證」之要求。

 #AIAHongKong  #健康長久好生活  #HealthierLongerBetterLives  #HKDisneyland   #香港迪士尼樂園 
                    ",119        ,4        ,20220527
5,aiahongkongmacau,1 week ago,"
                        【🏃‍♀️AIA卓越顧問大使李慧詩同您一齊步步為「贏」！ 】

成功要靠一點一滴嘅努力，健康亦要一步一步咁去累積！為咗鼓勵大家喺在家抗疫期間，維持健康嘅運動習慣，我哋嘅卓越顧問大使 @sarah_leewaisze  發起  #AIA邁步卓越Challenge ，邀請您拍片挑戰「30秒高抬腿」嘅紀錄；得到最多鼓勵嘅100位挑戰者（即獲得最多Like數），更可以獲得由Sarah親筆簽名嘅著作《身上的每道傷疤》一本𠻹！

參加方法：
1️⃣ 跟住Sarah嘅示範，以短片紀錄您嘅30秒高抬腿挑戰；
2️⃣ 將短片分享至個人Facebook或Instagram，加上hashtag  #AIA邁步卓越Challenge ，並標籤3位朋友邀請佢哋一齊挑戰 （短片須設定為公開）；
3️⃣ 短片得到最多Like嘅100位參加者將可獲獎！（若Like數相同，將以較先完成者為優勝）

條款及細則：https://bit.ly/3LmUHFy

 #AIA  #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #卓越顧問共創未來  #BeyondNumberOne  #AIABeyondInsurance  #AIA超越保險  #stayhealthy  #李慧詩  #AIAPremierAdvisor  #AIAOneBillion 
                    ",48        ,2        ,20220527
6,aiahongkongmacau,1 week ago,"
                        【✅投選您最喜愛球員，隨時有機會贏走  #簽名球衣👕或  #Garmin智能手錶⌚️ 】

喺過去幾場英超賽事中，熱刺嘅成績都相當唔錯，您又覺得邊位球員表現得最好呢?

新一round嘅AIA托定咸熱刺本月最佳球員活動又嚟喇！入選球員分別有孫興慜、賓戴維斯同基斯甸羅美路。由而家起至2022年5月20日23:59 (香港時間)，投選您嘅心水球員再分享投選原因，就有機會贏得托定咸熱刺簽名球衣一件或智能手錶Garmin Vivosmart 4 一隻！🏆⚽

立即行動啦👉🏻 https://bit.ly/3JFEuf7

註：每位參加者只可參與投票一次。受條款及細則約束。

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #TottenhamHotspurGlobalPrincipalPartner  #托定咸熱刺全球主要合作夥伴  #AIASpurs  #FootballForLife  #SpursPlayeroftheMonth  #EnglishPremierLeague  #EPL  #TottenhamHotspur  #托定咸熱刺  #Spurs  #熱刺  #Football  #足球 
                    ",17        ,1        ,20220527
7,aiahongkongmacau,2 weeks ago,"
                        【即玩「AIA Vitality 健康程式」相機食先賺分挑戰換豐富獎賞！】

近排個個都Post晚市堂食嘅食物相，不過就唔係人人都知做Foodie都可以賺分換獎賞！

由即日起至2022年7月31日，「AIA Vitality 健康程式」會員只要喺AIA Connect「友聯繫」流動應用程式上載您嘅食物相片，除咗有機會賺取高達480「AIA Vitality 健康程式」積分，人工智能技術仲會對您嘅食物選擇進行評分，再俾埋貼士教您點樣食得健康啲！美食當前除咗相機食先，記得Upload埋張靚相賺埋積分換獎賞！

如果想緊貼我哋嘅最新優惠同動向，「AIA Vitality 健康程式」會員可致電2232 8282並留低聯絡email，我哋會將最新嘅資訊send俾您！

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAVitality  #AIAVitality健康程式   #LiveWithVitality  #食物評級推廣活動  #健康獎賞密密賺  #Holmusk 
                    ",17        ,0        ,20220527
8,aiahongkongmacau,2 weeks ago,"
                        【2022，為您呈獻嶄新機遇——5月AIA事業發展招募講座（線上直播）】

NFT（非同質化代幣）作為2022年最hit話題之一，究竟佢係21世紀第三個十年最具潛力嘅投資工具📈？抑或只係曇花一現嘅潮流💥？

5月17日晚上AIA事業發展招募講座（COP），我哋將為您掀開NFT神秘嘅面紗，透過了解NFT嘅同時亦感受呢個新趨勢同AIA嘅關係 🔗 

⭐ 星級分享嘉賓 ⭐
👩 Ms. Louise Au, NDN Group 集團首席運營官
🔸 超過20年數碼營銷經驗，曾參與數百個數碼轉型項目，諮詢顧問及數碼營銷公司創始人
主題：NFT（非同質化代幣）—— 2022 火熱投資工具解析

👨 Mr. Harry Chau, AIA區域經理（CHAMP UFAA區域）
🔸 曾任職廣告公司及創業，成為MDRT會員達4年並榮獲2021年最傑出新晉分區經理第3名
主題：在職場上尋尋覓覓，如何在AIA找到事業上的機遇？

⌚ 活動詳情 ⌚
日期：2022年5月17日（星期二）
時間：19:30 – 20:30（19:15登入）

講座費用全免，立即聯絡您嘅財務策劃顧問或電郵aiahk.premieragency@aia.com查詢同報名啦✅！

 #AIA  #AIAHongKong  #AIAHK  #健康長久好生活  #HealthierLongerBetterLives  #ActNow  #AIAFinancialPlanner  #事業新發展  #NFT  #投資  #投資理財  #保險  #財自  #investment  #insurance 
                    ",30        ,0        ,20220527
9,aiahongkongmacau,2 weeks ago,"
                        您知道嗎？原來透過選購食材同烹調食物嘅方法都可以幫助改善環境！即刻去片向名廚Jeremy Pang偷師，學下點樣煮得環保、食得環保！

📣記得玩埋【AIA One Billion 健康達人大挑戰】，只要做齊任務就有機會獲得100港元HKTVmall電子禮券！如果大家有一直緊貼住我哋動態，喺唔同階段都做齊任務，仲有機會獲得高達900港元電子禮券添！即刻撳入AIAOB 限時動態精選 (Story highlights) 睇詳情啦！

 #AIAOneBillion  #AIA  #AIAHongKong  #AIAHK  #LiveWell  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion健康達人大挑戰  #綠色生活篇

註︰1. 每位參加者只可於每個階段參與一次。2. 活動受條款及細則約束︰https://bit.ly/3vkLnfg 或查閱AIAOB限時動態精選。 
                    ",13        ,0        ,20220527
